date,product_id,base_price,discount,weather,temperature,festival,competitor_price,marketing_spend,demand
05-02-2023,1004,467.38,0.04,Sunny,37.6,0,373.54,1090.42,28
06-02-2023,1008,334.83,0.14,Rainy,27.5,0,360.24,2753.56,33
07-02-2023,1006,113.14,0.03,Sunny,27.8,0,475.07,5421.97,54
08-02-2023,1001,465.1,0.15,Sunny,20.6,0,177.81,9554.53,40
09-02-2023,1003,199.29,0.28,Rainy,11.6,0,348.3,4452.48,26
10-02-2023,1008,331.05,0.16,Sunny,11,0,327.78,4819.35,38
11-02-2023,1001,166.21,0.18,Rainy,22.7,0,446.89,7432.26,48
12-02-2023,1009,113.55,0.05,Cloudy,12.5,0,150.98,6434.13,70
13-02-2023,1008,224.59,0.01,Cloudy,28.2,0,383.2,3690.34,50
14-02-2023,1009,412.2,0.03,Sunny,36.4,0,311.62,4697.35,42
15-02-2023,1004,211.03,0.18,Rainy,36.5,0,197.12,2959.3,53
16-02-2023,1001,188.04,0.03,Rainy,29.8,0,275.03,9694.19,47
17-02-2023,1003,185.07,0.11,Cloudy,16.3,0,220.17,2175.71,35
18-02-2023,1006,306.07,0.17,Cloudy,35.9,0,315.93,4346.53,52
19-02-2023,1007,490.22,0.12,Rainy,36.6,0,436.71,1232.55,23
20-02-2023,1002,283.6,0.05,Sunny,15.9,0,312.03,2996.02,47
21-02-2023,1000,322.92,0.08,Cloudy,32.1,0,336.37,8024.24,53
22-02-2023,1003,444.25,0.28,Sunny,18.6,0,292.31,2810.58,10
23-02-2023,1001,314.03,0.2,Sunny,34.1,0,109.95,1720.57,31
24-02-2023,1007,173.79,0.15,Cloudy,39.9,0,180.81,5270.08,64
25-02-2023,1003,219.84,0,Sunny,10.9,0,281.88,1089.72,12
26-02-2023,1001,223.97,0.3,Sunny,36.9,0,210.99,1762.9,66
27-02-2023,1005,258.93,0.2,Rainy,28.7,0,160.89,8268.63,59
28-02-2023,1005,270.72,0.1,Sunny,39.2,0,286.61,7943.26,70
01-03-2023,1009,419.91,0.26,Rainy,24,0,215.9,9236.25,22
02-03-2023,1003,239.75,0.08,Cloudy,35.4,0,190.66,8690.64,73
03-03-2023,1005,287.29,0.16,Cloudy,11.9,1,270.95,7148.58,93
04-03-2023,1001,349.99,0.19,Rainy,20.1,0,141.98,1471,14
05-03-2023,1009,251.09,0.07,Cloudy,12,0,451.82,8045.64,54
06-03-2023,1001,434.63,0.29,Sunny,39.3,0,428.4,8609.6,43
07-03-2023,1009,334.98,0.22,Sunny,34.5,0,365.97,8191.74,34
08-03-2023,1003,217.62,0.17,Sunny,35.6,0,131.42,5576.31,62
09-03-2023,1007,385.62,0.05,Cloudy,38.1,0,392.59,3096.12,45
10-03-2023,1006,311.06,0.02,Sunny,12.6,0,405.1,8607.97,36
11-03-2023,1008,313.78,0.1,Cloudy,21.6,1,389.43,7544.47,86
12-03-2023,1007,292.44,0.23,Sunny,12.1,0,134.45,9826.85,29
13-03-2023,1004,298.8,0.08,Rainy,16.3,0,341.12,2401.23,18
14-03-2023,1001,406.14,0.16,Cloudy,16.9,1,415.39,3030.98,55
15-03-2023,1004,141.19,0.22,Cloudy,24.1,0,315.17,2906.18,53
16-03-2023,1007,233.75,0.03,Sunny,18.1,1,342.1,8132.86,74
17-03-2023,1009,130.2,0.21,Cloudy,13,0,268.76,2682.17,56
18-03-2023,1008,401.3,0.03,Cloudy,15,1,296.2,1599.94,55
19-03-2023,1008,208.92,0.29,Rainy,14.4,0,103.41,9987.05,64
20-03-2023,1000,458.97,0.15,Rainy,39.2,0,339.2,1223.35,24
21-03-2023,1008,310.63,0.05,Sunny,32.8,1,121.76,8517.2,88
22-03-2023,1006,420.3,0.1,Rainy,39,0,259.66,4288.3,31
23-03-2023,1008,491.57,0.12,Sunny,23.2,0,204.14,8574.54,50
24-03-2023,1007,435.92,0.23,Sunny,18.4,0,302.72,5991.58,19
25-03-2023,1000,446.8,0.22,Sunny,33.9,0,142.03,9114.68,61
26-03-2023,1007,263.19,0.18,Cloudy,19.8,0,359.74,9335.74,52
27-03-2023,1007,320.69,0.03,Rainy,19,0,400.05,1081.88,15
28-03-2023,1002,201.56,0.05,Sunny,17,0,153.71,1678.71,55
29-03-2023,1000,178.45,0.03,Rainy,13.9,0,130.68,3253.23,46
30-03-2023,1007,302.2,0.17,Sunny,17.7,0,146.75,7023.84,51
31-03-2023,1002,338.02,0.26,Rainy,20.7,0,432.08,8994.45,56
01-04-2023,1002,235.71,0.13,Rainy,30.2,0,295.99,5139.48,55
02-04-2023,1000,327.78,0.05,Sunny,11.9,0,272.23,6462.76,30
03-04-2023,1004,454.98,0.17,Cloudy,16.3,0,131.62,2696.5,27
04-04-2023,1009,322.69,0.24,Rainy,34.3,0,343.33,8244.7,51
05-04-2023,1006,388.33,0.22,Cloudy,14.4,0,428.52,9705.95,44
06-04-2023,1009,422.13,0.26,Cloudy,20.3,0,412.99,3417.39,3
07-04-2023,1008,495.49,0.08,Sunny,35.9,0,334.16,5453.43,33
08-04-2023,1006,341.28,0.06,Sunny,14.6,1,119.36,1775.04,50
09-04-2023,1008,422.74,0.26,Sunny,12.5,0,133.83,6032.23,42
10-04-2023,1007,485.06,0.2,Rainy,24.5,0,109.23,5525.05,31
11-04-2023,1001,477.76,0.09,Sunny,19.1,0,190.42,2299.93,18
12-04-2023,1000,156.43,0.22,Sunny,26.9,0,142.91,4978.6,62
13-04-2023,1006,262.56,0.24,Rainy,34.1,1,191.42,4006.94,68
14-04-2023,1006,229.6,0.18,Rainy,14.1,0,240.17,5696.48,61
15-04-2023,1007,134.77,0.21,Sunny,27.4,0,457.76,6270.89,82
16-04-2023,1004,353.3,0.11,Sunny,25.2,1,328.05,1076.46,63
17-04-2023,1002,394.36,0.16,Sunny,14.3,0,415.64,7849.05,49
18-04-2023,1007,439.25,0.16,Sunny,28.7,0,367.04,7417.13,29
19-04-2023,1005,149.11,0.25,Cloudy,18.2,0,133.88,4296.58,44
20-04-2023,1002,450.58,0.25,Cloudy,24.6,0,377.01,1476.42,20
21-04-2023,1000,357.17,0.25,Sunny,12.5,1,197.29,7794.39,70
22-04-2023,1002,381.58,0,Cloudy,23.8,1,339.25,9596.58,68
23-04-2023,1004,464.25,0.22,Rainy,19.2,0,222.98,3161.36,24
24-04-2023,1002,349.9,0.23,Cloudy,34.7,0,479.09,3911.72,43
25-04-2023,1000,234.35,0.2,Cloudy,11.7,1,192.79,2654.32,57
26-04-2023,1004,430.04,0.23,Sunny,22.6,0,198.86,6192.43,35
27-04-2023,1009,245.22,0.25,Cloudy,23.8,0,452.96,2393.57,50
28-04-2023,1006,113.69,0.14,Cloudy,31.8,1,99.61,4205.75,94
29-04-2023,1006,432.26,0.15,Cloudy,27.2,0,361.71,7273.12,46
30-04-2023,1008,238.08,0.04,Cloudy,30,0,372.88,6041.04,41
01-05-2023,1009,409.53,0.12,Rainy,33.3,0,416.19,4478.16,39
02-05-2023,1009,245.1,0.19,Sunny,35.9,1,470.03,4782.25,71
03-05-2023,1002,444.43,0.23,Sunny,19.4,0,470.48,6059,16
04-05-2023,1006,187.8,0.07,Rainy,26.1,0,115.46,1052.78,40
05-05-2023,1000,489.82,0.04,Cloudy,35.2,0,410.52,1706.59,12
06-05-2023,1003,411.9,0.2,Rainy,39.7,0,342.06,8931.32,41
07-05-2023,1003,145.7,0,Cloudy,36.7,0,342.46,1700.91,55
08-05-2023,1004,326.31,0.05,Rainy,21.1,0,140.06,7361.23,51
09-05-2023,1006,494.15,0.01,Sunny,15.9,0,343.57,9280.34,23
10-05-2023,1006,288.43,0.05,Sunny,24.7,0,473.17,3436.15,24
11-05-2023,1003,172.84,0.05,Sunny,32.2,1,445.61,4334.42,98
12-05-2023,1006,293.91,0.12,Cloudy,24.8,0,261.26,6120.29,36
13-05-2023,1002,304.98,0.12,Cloudy,24.5,1,105.58,8935.38,79
14-05-2023,1005,396.67,0.26,Rainy,35.1,0,231.29,9477.15,51
15-05-2023,1001,379.54,0.15,Rainy,20.8,0,412.29,7656.07,39
16-05-2023,1009,261.02,0.22,Sunny,35.8,0,363.58,1779.58,56
17-05-2023,1008,187.21,0.03,Cloudy,22.2,0,269.14,7022.39,61
18-05-2023,1004,358.02,0.07,Rainy,19.8,1,111.49,4692.73,54
19-05-2023,1005,268.68,0.21,Cloudy,23.6,0,256.49,5236.31,67
20-05-2023,1003,152.91,0.02,Cloudy,32.9,0,272.92,1442.34,55
21-05-2023,1009,460.23,0.15,Sunny,13.8,0,452.14,2719.56,14
22-05-2023,1006,376.49,0.18,Sunny,15.9,0,340.02,8114.62,46
23-05-2023,1008,373.27,0.18,Cloudy,38.5,0,211.54,5085.63,44
24-05-2023,1006,429.03,0.01,Cloudy,15.3,0,294.87,3714.96,26
25-05-2023,1000,311.86,0.1,Cloudy,27,0,115.76,4456.17,66
26-05-2023,1000,426.02,0.19,Cloudy,27.4,0,469.3,8689.6,35
27-05-2023,1008,299.24,0.04,Sunny,24.7,0,230.42,7740.99,44
28-05-2023,1008,126.87,0.21,Rainy,29.3,0,276.37,3450.84,60
29-05-2023,1003,262.1,0.22,Sunny,16.9,0,228.56,2057.52,47
30-05-2023,1008,298.99,0.29,Rainy,26.6,0,356.18,3267.98,24
31-05-2023,1002,388.08,0.06,Cloudy,21.2,0,348.27,9286.81,20
01-06-2023,1006,142.63,0.25,Rainy,29.9,0,368.98,6234.3,57
02-06-2023,1005,156.01,0.16,Sunny,14.2,0,194.58,5801.32,36
03-06-2023,1007,205.47,0.11,Sunny,27.1,0,213.11,6367.54,51
04-06-2023,1008,206.6,0.04,Cloudy,15.6,1,138.85,4294.25,80
05-06-2023,1004,392.87,0.22,Sunny,18.4,0,345.65,8263.96,27
06-06-2023,1000,200.29,0.07,Cloudy,16.6,0,105.52,5709.58,35
07-06-2023,1002,353.24,0.11,Sunny,15.5,1,323.1,2050.73,57
08-06-2023,1009,297.71,0.02,Sunny,34.8,1,429.18,2161.59,80
09-06-2023,1007,329.32,0.24,Cloudy,18.6,0,437.42,5831.73,21
10-06-2023,1005,435.24,0.23,Rainy,37.8,1,265.12,9429.13,82
11-06-2023,1007,261.75,0.22,Sunny,39.1,0,269.13,3775.17,59
12-06-2023,1008,408.36,0.09,Rainy,27.1,0,120.02,8825.87,49
13-06-2023,1003,268.81,0.05,Sunny,14.3,0,351.6,7876.86,58
14-06-2023,1000,241.55,0.19,Sunny,21.2,0,410.29,3230.31,64
15-06-2023,1000,483.45,0.15,Sunny,33.9,0,185.42,1327.07,17
16-06-2023,1009,173.75,0.05,Sunny,21,0,254.31,1916.63,48
17-06-2023,1003,136.13,0.21,Rainy,12.6,0,417.15,7556.45,53
18-06-2023,1006,408.39,0.3,Rainy,26.7,1,432.08,2797.03,58
19-06-2023,1001,127.3,0.22,Sunny,35.4,1,184.84,4341.44,108
20-06-2023,1002,434.83,0.22,Sunny,33.9,0,304.72,5515.29,21
21-06-2023,1000,274.88,0.29,Rainy,15.3,1,165.07,7529.21,66
22-06-2023,1004,466.21,0.06,Cloudy,30.2,1,129.73,2019.08,66
23-06-2023,1000,388.61,0.17,Cloudy,16.6,0,445.34,4657.3,38
24-06-2023,1007,344.16,0.29,Rainy,16.5,0,410,5365.66,30
25-06-2023,1000,479.72,0.05,Sunny,36.2,0,386.41,5867.44,40
26-06-2023,1000,258.66,0.21,Sunny,17.5,1,109.02,8365.25,83
27-06-2023,1001,481.63,0.18,Cloudy,17.9,0,419.05,2545.1,30
28-06-2023,1001,154,0.18,Cloudy,10,0,260.84,8270.48,56
29-06-2023,1005,293.5,0.21,Rainy,36.1,0,223.53,7235.91,63
30-06-2023,1006,207.96,0.28,Cloudy,33.8,0,303.13,6002.84,84
01-07-2023,1004,315.94,0.23,Rainy,28.8,0,125.63,7295.75,53
02-07-2023,1000,164.81,0.02,Cloudy,32.5,0,385.09,4708.16,59
03-07-2023,1000,436.61,0.26,Cloudy,14.6,0,317.15,2245.58,25
04-07-2023,1002,438.56,0.07,Cloudy,23.7,1,162.77,6991.89,58
05-07-2023,1001,482.09,0.11,Sunny,20.5,1,163.41,5722.05,77
06-07-2023,1004,161.87,0.14,Sunny,12.8,0,161.86,6754.37,55
07-07-2023,1009,349.33,0.14,Sunny,24.6,1,112.23,4041.99,62
08-07-2023,1005,289.69,0.13,Cloudy,37.6,0,319.24,9161.8,49
09-07-2023,1006,237.75,0.28,Rainy,11.2,0,417.74,6286.33,55
10-07-2023,1003,240.62,0.21,Rainy,18.7,0,96.82,1768.62,47
11-07-2023,1006,265.12,0.19,Rainy,16.2,1,109.11,5048.24,66
12-07-2023,1007,381.97,0.01,Rainy,17.1,1,313.38,7807.2,71
13-07-2023,1000,339.31,0.27,Sunny,37.3,0,409.6,8147.21,35
14-07-2023,1005,283.87,0.27,Sunny,24,1,217.43,5451.37,76
15-07-2023,1007,130.37,0.23,Cloudy,24,0,226.35,9052.73,71
16-07-2023,1004,131.11,0,Cloudy,32.8,0,322.58,3409.02,77
17-07-2023,1003,100.94,0.02,Rainy,14.6,0,196.94,4695.39,48
18-07-2023,1001,487.08,0.07,Sunny,24.6,0,100.38,9087.37,18
19-07-2023,1005,102.1,0.04,Rainy,22.9,0,376.74,9066.31,60
20-07-2023,1005,141.24,0.12,Cloudy,27.9,1,334,7171.41,80
21-07-2023,1000,225.84,0.28,Cloudy,40,0,316.49,8730.82,78
22-07-2023,1008,422.97,0.14,Rainy,33.1,0,379.26,1798.96,43
23-07-2023,1005,484.84,0,Cloudy,21.9,0,353.34,8784.95,33
24-07-2023,1002,416.01,0.08,Rainy,34.8,0,170.29,3885.58,45
25-07-2023,1003,376.22,0.01,Sunny,15.1,1,227.47,2604.98,56
26-07-2023,1003,308.52,0.01,Rainy,10.9,0,139.18,3154.33,29
27-07-2023,1002,134.68,0.08,Sunny,16.1,0,140.64,4761.72,50
28-07-2023,1009,483.27,0.08,Sunny,20.2,1,353.72,3260.73,45
29-07-2023,1002,403.36,0.24,Cloudy,25.3,0,424.85,3885.11,14
30-07-2023,1002,355.58,0.29,Cloudy,28.5,0,465.47,2214.81,35
31-07-2023,1003,403.61,0.11,Cloudy,37.3,0,335.06,3665.59,35
01-08-2023,1006,389.64,0.13,Rainy,25.3,0,161.8,6150.55,43
02-08-2023,1003,354.89,0.25,Rainy,25,0,131.2,4976.68,37
03-08-2023,1008,492.23,0.08,Cloudy,11.5,0,407.01,4120.47,13
04-08-2023,1000,461.35,0.05,Rainy,11,1,315.72,7718.07,46
05-08-2023,1007,358.67,0.26,Cloudy,26.5,1,331.13,9041.59,76
06-08-2023,1006,377.27,0.01,Rainy,23.1,0,394.77,7811.1,46
07-08-2023,1001,120.64,0.19,Sunny,35.2,0,364.28,3988.01,52
08-08-2023,1007,367.97,0.17,Sunny,14.8,1,415.44,7699.98,66
09-08-2023,1000,117.67,0.1,Cloudy,10.7,0,111.92,2367.82,50
10-08-2023,1008,335.31,0.09,Rainy,23.5,0,381.53,2172.86,25
11-08-2023,1008,499.74,0.23,Rainy,17.1,0,421.83,4110.64,10
12-08-2023,1001,322.32,0.03,Sunny,11.5,1,201.59,8269.32,72
13-08-2023,1006,289.28,0.07,Sunny,31.7,0,339.77,3217.13,32
14-08-2023,1009,225.14,0.22,Cloudy,13.3,0,212.52,1569.28,40
15-08-2023,1002,148.21,0.16,Sunny,28.2,0,463.61,2185.39,44
16-08-2023,1006,392.41,0.04,Cloudy,18.4,1,103.04,8728.7,78
17-08-2023,1009,177.04,0.26,Sunny,15.2,0,316.12,6704.05,76
18-08-2023,1008,146.11,0.12,Sunny,21.4,1,154.94,3278.81,74
19-08-2023,1003,268.71,0.25,Rainy,34,0,367.77,5997.66,57
20-08-2023,1000,418.14,0.24,Sunny,21.8,0,158.6,5748.22,23
21-08-2023,1001,398.03,0.19,Sunny,32.5,0,181.8,6898.92,50
22-08-2023,1000,121.95,0.15,Cloudy,13.8,0,282.8,3098.69,38
23-08-2023,1004,282.06,0.29,Sunny,33.2,1,446.79,8779.63,90
24-08-2023,1004,308.97,0.04,Cloudy,17.1,0,172.57,3784.32,26
25-08-2023,1006,357.82,0.22,Sunny,30.3,0,146.25,7247.18,41
26-08-2023,1008,360.07,0.06,Sunny,27,0,386,1145.12,19
27-08-2023,1008,245.88,0.1,Cloudy,37.9,0,285.24,4353.91,61
28-08-2023,1002,324.27,0.09,Rainy,21.6,0,445.6,4165.39,28
29-08-2023,1002,292.42,0.28,Cloudy,12,0,147.18,5891.36,44
30-08-2023,1002,454,0.29,Cloudy,10.6,1,341.91,1654.63,39
31-08-2023,1003,312.11,0.05,Cloudy,34.8,0,180.82,8111.18,51
01-09-2023,1007,276.41,0.01,Rainy,25.7,0,151.14,2960.03,42
02-09-2023,1005,261.79,0.22,Sunny,33.3,0,356.54,7093.34,47
03-09-2023,1007,328.97,0.13,Cloudy,17,0,321.54,8228.91,44
04-09-2023,1000,421.59,0.03,Cloudy,20.4,0,384.38,6056.89,45
05-09-2023,1007,315.36,0.21,Rainy,10.9,1,210.69,7667.95,61
06-09-2023,1003,364.66,0.16,Cloudy,38.8,0,264.71,6956.74,58
07-09-2023,1000,395.14,0.29,Sunny,30,0,248.13,4199.77,48
08-09-2023,1007,308.07,0.07,Rainy,38,0,473.79,8279.73,46
09-09-2023,1003,270.73,0.12,Sunny,18,1,203.98,3652.31,54
10-09-2023,1005,450.67,0.16,Sunny,28.3,0,204.98,6140.92,34
11-09-2023,1007,267,0.24,Rainy,30.4,0,228.27,7708.58,48
12-09-2023,1003,284.78,0.16,Cloudy,19.5,0,310.19,4410.6,58
13-09-2023,1002,496.14,0.18,Sunny,35.4,0,188.41,3724.91,25
14-09-2023,1008,100.1,0.07,Sunny,38.4,0,446.96,5134.11,61
15-09-2023,1002,174.19,0.25,Sunny,36.5,0,193.62,8361.67,56
16-09-2023,1008,253.59,0.13,Sunny,32.2,0,439.37,9369.3,70
17-09-2023,1001,473.04,0.04,Rainy,18.3,0,130.36,5905.75,17
18-09-2023,1001,128.01,0.2,Rainy,18.4,1,346.06,6953.2,90
19-09-2023,1001,103.79,0.06,Sunny,38.9,0,443.72,9129.46,86
20-09-2023,1005,121.07,0.03,Cloudy,10.3,0,155.81,1886.92,41
21-09-2023,1002,135.42,0.26,Sunny,31.5,0,467.65,3088.71,57
22-09-2023,1008,115.04,0.14,Cloudy,31.2,0,266.62,7380.1,68
23-09-2023,1003,291.91,0.22,Sunny,28.7,0,458.83,8413.7,58
24-09-2023,1000,332.3,0.09,Cloudy,39.7,0,353.96,8713.26,59
25-09-2023,1003,208.67,0.24,Sunny,19.4,0,207.62,4735.96,46
26-09-2023,1000,259.31,0.03,Cloudy,20.2,0,163.44,1804.06,38
27-09-2023,1004,136.68,0.11,Sunny,12.4,1,208.46,4940.03,78
28-09-2023,1003,234.55,0.29,Sunny,23.3,0,126.28,3076.61,29
29-09-2023,1007,309.01,0.24,Cloudy,17.8,1,146.11,3620.77,67
30-09-2023,1007,392.91,0.15,Rainy,20.3,0,130.82,7950.41,55
01-10-2023,1006,101.34,0.1,Cloudy,35,0,254.95,1679.74,51
02-10-2023,1002,286.92,0.26,Rainy,38.1,0,400.28,8448.23,49
03-10-2023,1000,218.8,0.16,Sunny,15.6,0,145.14,4849.02,36
04-10-2023,1000,441.13,0.23,Cloudy,21.2,0,140.82,6364.58,36
05-10-2023,1002,386.22,0.23,Cloudy,37.9,0,340.94,1806.87,38
06-10-2023,1005,335.64,0.01,Cloudy,11.9,1,166.9,4036.23,58
07-10-2023,1006,210.91,0.04,Rainy,12.8,1,128.07,1807.31,59
08-10-2023,1005,464.14,0.2,Rainy,14.9,0,155.07,9653.89,31
09-10-2023,1005,118.04,0.05,Sunny,27.9,0,450.26,8265.35,53
10-10-2023,1005,143.79,0.08,Rainy,14.5,0,410.37,5136.69,54
11-10-2023,1002,256.65,0.28,Rainy,39,0,228.09,3012.42,58
12-10-2023,1005,149.78,0.17,Sunny,23.4,0,345.77,9401.1,53
13-10-2023,1007,482.57,0.23,Cloudy,25,1,299.54,4101.37,37
14-10-2023,1001,419.2,0.17,Cloudy,17.4,0,354.08,2448.86,37
15-10-2023,1004,203.59,0.17,Sunny,24.1,0,356.24,6068.48,47
16-10-2023,1000,335.42,0.03,Cloudy,29.9,0,335.21,9493.97,61
17-10-2023,1000,492.93,0.1,Rainy,32.5,0,193.78,1034.47,17
18-10-2023,1004,453.68,0.08,Sunny,32.6,0,105.21,3143.12,25
19-10-2023,1002,340.32,0.12,Sunny,27.3,0,267.67,9446.03,52
20-10-2023,1003,461.49,0.24,Sunny,37.1,0,437.48,2539.77,18
21-10-2023,1002,495.67,0.11,Cloudy,34.5,0,312.1,2019.19,23
22-10-2023,1000,397.34,0.14,Sunny,32.7,0,414.63,6131.68,35
23-10-2023,1000,125.99,0.12,Sunny,11.7,1,476.73,8756.59,77
24-10-2023,1004,260.63,0.03,Sunny,10.2,0,153.81,5293.99,42
25-10-2023,1005,435.13,0.13,Cloudy,16.4,0,359.79,9951.08,31
26-10-2023,1002,192.23,0.06,Rainy,29.9,0,352.97,7112.55,58
27-10-2023,1008,432.26,0.06,Sunny,22.3,0,472.18,1666.67,9
28-10-2023,1004,148.14,0.03,Rainy,22.1,0,474.38,9935.49,82
29-10-2023,1007,118.78,0.11,Cloudy,36.5,1,357.8,4671.05,104
30-10-2023,1000,253.64,0.23,Cloudy,36.9,0,185.01,3586.62,59
31-10-2023,1004,114.69,0.08,Cloudy,37.3,0,401.44,6020.91,66
01-11-2023,1002,482.91,0.09,Cloudy,19.4,0,131.74,3738.77,1
02-11-2023,1000,430.48,0.19,Rainy,30.7,0,394.47,1778.12,45
03-11-2023,1003,420.31,0.06,Sunny,18.1,1,444.98,1012.86,48
04-11-2023,1004,351.91,0.27,Cloudy,15.7,1,239.31,5046.25,55
05-11-2023,1006,186.53,0.16,Cloudy,15.5,0,335.95,8531.77,60
06-11-2023,1000,307.3,0.13,Rainy,20.3,0,257.76,6150.84,53
07-11-2023,1002,338.91,0.17,Rainy,22.9,0,260.73,9992.87,47
08-11-2023,1001,310.01,0.05,Cloudy,34.9,1,211.04,3581.62,86
09-11-2023,1008,204.09,0.18,Sunny,13.6,0,387.23,3524.1,54
10-11-2023,1009,306.1,0.11,Sunny,32,1,455.11,2437.75,59
11-11-2023,1005,296.47,0.27,Cloudy,25.9,0,456.89,2476.57,31
12-11-2023,1009,498.53,0.05,Rainy,18.6,0,158.16,3566.68,26
13-11-2023,1002,458.97,0.15,Cloudy,24.8,0,431.15,8135.56,5
14-11-2023,1007,285.35,0.18,Cloudy,19,1,377.6,9151.81,77
15-11-2023,1007,349.17,0.01,Rainy,27.9,1,188.61,9775.78,64
16-11-2023,1001,399.15,0.11,Cloudy,23,0,116.24,3090.61,23
17-11-2023,1005,113.95,0.22,Cloudy,14.9,0,194.52,8931.68,60
18-11-2023,1006,457.97,0.25,Cloudy,13.5,0,445.76,3954.3,15
19-11-2023,1001,444.05,0.09,Rainy,26.4,0,336.94,2015.56,17
20-11-2023,1009,282.97,0.24,Sunny,37.1,0,371.21,8830.22,46
21-11-2023,1001,256.47,0.29,Sunny,20.3,0,190.29,6724.95,70
22-11-2023,1009,209.18,0.26,Rainy,32,1,370.56,2482.58,98
23-11-2023,1000,290.67,0.04,Sunny,29.8,0,100.97,4868.48,33
24-11-2023,1007,117.75,0.22,Cloudy,37.9,1,236.38,3585.32,110
25-11-2023,1000,440.88,0.1,Sunny,34.6,0,334.43,7631.15,34
26-11-2023,1008,114.17,0.3,Cloudy,27,0,146.98,5080.75,63
27-11-2023,1005,231.62,0.15,Sunny,29.7,0,410.97,9903.52,60
28-11-2023,1006,472.64,0.04,Rainy,37,0,181.66,1492.7,17
29-11-2023,1009,394.09,0.22,Sunny,22,0,344.39,4195.14,39
30-11-2023,1006,212.56,0.1,Sunny,19.8,0,248.03,5337.1,50
01-12-2023,1009,201.06,0.3,Sunny,10.3,0,322.46,5528.2,41
02-12-2023,1002,102.03,0.29,Rainy,34.8,0,131.91,3843.42,51
03-12-2023,1001,378.29,0.2,Sunny,34,0,96.6,7563.16,35
04-12-2023,1008,119.51,0.04,Rainy,13.1,0,444.73,8872.72,45
05-12-2023,1007,313.04,0.21,Cloudy,27.3,1,195.16,9448.47,81
06-12-2023,1009,484.85,0.03,Sunny,23.9,1,409.67,8245.84,47
07-12-2023,1006,143.79,0.01,Rainy,13.6,0,479.75,8655.22,57
08-12-2023,1008,457.79,0.25,Rainy,39.4,0,172.46,5954.91,49
09-12-2023,1003,496.59,0.06,Sunny,16.4,0,193.42,8432.99,37
10-12-2023,1003,124.61,0.11,Cloudy,12,1,348.52,3731.54,80
11-12-2023,1000,453.16,0.29,Rainy,27.8,0,466.52,4586.31,26
12-12-2023,1007,306.43,0.1,Sunny,32.2,0,447.17,3852.22,61
13-12-2023,1002,462.61,0.09,Cloudy,11,0,286.12,5206.49,24
14-12-2023,1006,328.53,0.28,Rainy,29.8,0,400.09,3570.22,35
